#,Station,lat,lon,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,Accumulated
98132,"Itbayat, Batane...",20.787,121.838,,,,,,,,
98133,"Calayan, Cagaya...",19.263,121.467,,,,,,,,
98134,"Basco, Batanes",20.427,121.971,,,,,,,,
98222,"Sinait, Ilocos...",17.89,120.46,,,,,,,,
98223,"Laoag City, Ilo...",18.183,120.535,,,,,,,,
98232,"Aparri, Cagayan",18.36,121.63,,,,,,,,
98233,Tuguegarao City...,17.648,121.759,,,,,,,,
98324,"Iba, Zambales",15.326,119.969,,,,,,,,
98325,"Dagupan City, P...",16.087,120.352,,,,,,,,
98327,"Clark, Pampanga",15.186,120.549,,,,,,,,
98328,"Baguio City, Be...",16.404,120.602,,,,,,,,
98329,"Munoz, Nueva Ec...",15.736,120.937,,,,,,,,
98334,"Baler, Aurora",15.749,121.632,,,,,,,,
98336,"Casiguran, Auro...",16.265,122.129,,,,,,,,
98422,"Abucay, Bataan",14.741,120.452,,,,,,,,
98425,"Port Area, Mani...",14.588,120.968,,,,,,,,
98426,"Subic, Zambales",14.792,120.271,,,,,,,,
98427,"Tayabas, Quezon",14.018,121.597,,,,,,,,
98428,"Sangley Pt, Cav...",14.495,120.907,,,,,,,,
98429,"NAIA, Pasay Cit...",14.505,121.005,,,,,,,,
98430,"Science Garden,...",14.645,121.044,,,,,,,,
98431,"Calapan City, O...",13.415,121.187,,,,,,,,
98432,"Ambulong, Batan...",14.088,121.062,,,,,,,,
98433,"Tanay, Rizal",14.581,121.369,,,,,,,,
98434,"Infanta, Quezon",14.748,121.678,,,,,,,,
98435,"Alabat, Quezon",14.105,122.018,,,,,,,,
98437,"Mulanay, Quezon",13.5131,122.4694,,,,,,,,
98440,"Daet, Camarines...",14.129,122.983,,,,,,,,
98444,"Legazpi City, A...",13.151,123.728,,,,,,,,
98446,"Virac, Catandua...",13.578,124.208,,,,,,,,
98526,"Coron, Palawan",12.004,120.2,,,,,,,,
98531,"San Jose, Occid...",12.36,121.048,,,,,,,,
98536,"Romblon, Romblo...",12.579,122.27,,,,,,,,
98538,"Roxas City, Cap...",11.6,122.75,,,,,,,,
98543,"Masbate City, M...",12.366,123.629,,,,,,,,
98545,"Juban, Sorsogon",12.839,123.997,,,,,,,,
98546,"Catarman, North...",12.505,124.629,,,,,,,,
98548,Catbalogan City...,11.775,124.884,,,,,,,,
98550,"Tacloban City,...",11.23,125.025,,,,,,,,
98553,"Borongan City,...",11.661,125.443,,,,,,,,
98558,"Guiuan, Eastern...",11.046,125.756,,,,,,,,
98602,"Pagasa Island,...",11.052,114.285,,,,,,,,
98618,Puerto Princesa...,9.74,118.759,,,,,,,,
98630,"Cuyo, Palawan",10.854,121.008,,,,,,,,
98642,"Dumaguete City,...",9.335,123.303,,,,,,,,
98644,"Dauis, Bohol",9.584,123.816,,,,,,,,
98646,"Mactan City, Ce...",10.322,123.98,,,,,,,,
98648,"Maasin City, So...",10.135,124.861,,,,,,,,
98653,"Surigao City, S...",9.783,125.489,,,,,,,,
98741,"Dipolog City, Z...",8.599,123.344,,,,,,,,
98746,"Cotabato City,...",7.162,124.215,,,,,,,,
98747,El Salvador Cit...,8.605,124.457,,,,,,,,
98751,"Malaybalay, Buk...",8.151,125.134,,,,,,,,
98752,"Butuan City, Ag...",8.947,125.482,,,,,,,,
98753,"Davao City, Dav...",7.128,125.655,,,,,,,,
98755,"Hinatuan, Surig...",8.367,126.339,,,,,,,,
98836,"Zamboanga City,...",6.919,122.064,,,,,,,,
98851,General Santos...,6.057,125.104,,,,,,,,
98006,"MMSU, BATAC",18.05405211,120.5455941,,,,,,,,
98014,"BSU, LA TRINIDAD",16.45044427,120.5936415,,,,,,,,
98011,ISU,16.72568113,121.6984589,,,,,,,,
98019,NVSU,16.48154632,121.1431629,,,,,,,,
98017,CLSU- MUNOZ,15.73586,120.9368,,,,,,,,
98018,TCA,15.63682587,120.4159152,,,,,,,,
98320,HDA. LUISITA,15.43606815,120.6463349,,,,,,,,
98423,CAVSU,14.19783552,120.8835844,,,,,,,,
98151,"NAS, UPLB",14.16670933,121.2390824,,,,,,,,
98034,"PNAC, ABORLAN",9.39167,118.495575,,,,,,,,
98027,BUCAF-ALBAY,13.19281803,123.5952261,,,,,,,,
98028,PILI,13.58007046,123.2621469,,,,,,,,
98058,LA GRANJA,10.407525,122.9827,,,,,,,,
98051,"PSPC, MAMBUSAO",11.44435222,122.5478921,,,,,,,,
98059,"DUMANGAS, ILOILO",10.85805914,122.7188305,,,,,,,,
98041,"UEP, CATARMAN",12.510914,124.663887,,,,,,,,
98055,"VISCA, B.LEYTE",10.745404,124.790965,,,,,,,,
98082,"PCA, DAVAO",7.067635978,125.4962738,,,,,,,,
98191,TAGUM,7.4184,125.8311,,,,,,,,
98071,"MSU, MARAWI CITY",7.993612972,124.2574303,,,,,,,,
